SmallDB, MediumDB, LargeDB
1.186514, 2.612489, 7.137078
1.095633, 2.205083, 5.386081
1.099199, 2.096127, 5.526006
1.144614, 2.217014, 5.550401
1.086095, 2.191126, 5.382584
1.113116, 2.104082, 5.238244
1.20034, 2.258142, 5.208428
1.104851, 2.175135, 5.584504
1.096735, 2.15086, 5.109331
1.10485, 2.189382, 5.36339
1.106824, 2.200062, 5.385891
1.08388, 2.155619, 5.346327
1.114679, 2.115984, 5.268981
1.271875, 2.355604, 5.390069
1.075635, 2.202718, 5.553737
1.080043, 2.191977, 5.292576
1.231659, 2.352419, 5.631044
1.210078, 2.40612, 5.725981
1.13674, 2.1772, 5.412982
1.100051, 2.140731, 5.180185
1.197695, 2.305961, 5.474748
1.125609, 2.190735, 5.584876
1.083419, 2.137214, 5.186155
1.105411, 2.271656, 5.392093
1.109319, 2.173964, 5.658244
1.117454, 2.196115, 5.524994
1.066247, 2.195423, 5.416429
1.164713, 2.306713, 5.521025
1.191533, 2.311633, 6.345929
1.567651, 2.433242, 5.586389
1.212282, 2.396722, 5.477444
1.101053, 2.242482, 5.740749
1.142241, 2.208047, 5.437297
1.26448, 2.40048, 5.41711
1.101163, 2.188661, 5.500207
1.183108, 2.2253, 5.379077
1.100161, 2.223476, 5.453288
1.087758, 2.174415, 5.376995
1.084412, 2.154577, 5.363257
1.094842, 2.174525, 5.221121
1.149364, 2.226793, 5.181076
1.192035, 2.178212, 5.414153
1.10443, 2.128108, 5.183048
1.089761, 2.180376, 5.456114
1.118876, 2.106906, 5.23631
1.0778, 2.121976, 5.361645
1.079613, 2.120032, 5.334755
1.17388, 2.273941, 5.255937
1.113778, 2.245598, 5.65645
1.093239, 2.146993, 5.349181
