SmallDB, MediumDB, LargeDB
2.117115, 4.429184, 15.659167
2.188098, 5.567477, 16.039228
0.97198, 3.37507, 20.123868
1.005553, 3.614489, 17.586685
1.677041, 4.950251, 14.203842
1.566143, 5.681841, 18.590154
1.016523, 3.236402, 20.355782
1.164451, 3.213378, 17.71195
1.902373, 4.823844, 15.617559
1.65519, 7.774869, 18.318578
1.023987, 3.269322, 23.32932
1.117433, 3.275845, 21.2246
1.792577, 3.806588, 16.860296
2.272666, 5.280349, 15.595687
1.099388, 5.254811, 21.568203
1.04616, 3.154699, 22.469991
1.027475, 3.345245, 22.350658
1.54369, 3.718294, 19.496835
1.891914, 5.150466, 16.760768
2.189551, 7.955359, 16.631698
1.066627, 5.094069, 19.658928
1.145175, 3.516867, 20.229425
1.015832, 3.384749, 15.824827
2.073754, 5.733448, 15.162064
1.160754, 3.989151, 21.282498
1.416924, 4.105408, 20.123666
1.105229, 3.354612, 15.945634
2.046853, 5.914666, 15.257745
1.031982, 4.273854, 20.319343
1.022786, 3.420867, 20.571507
1.455195, 3.334906, 15.567012
3.025166, 6.002191, 14.907229
1.093227, 3.594691, 20.469235
1.074221, 3.279101, 20.151478
1.491143, 3.798153, 15.627257
2.169103, 6.603457, 16.467469
1.615044, 4.55436, 20.839559
1.02515, 3.359601, 20.067002
1.43628, 3.278891, 14.941242
2.726295, 5.9587, 15.557847
1.256804, 3.550449, 20.747054
0.981408, 3.249877, 18.342362
1.928471, 3.893773, 14.217816
1.632437, 5.234053, 16.324022
0.96102, 3.294139, 19.523633
1.044255, 3.284972, 15.966543
2.187396, 5.4306, 15.948018
1.175992, 3.954406, 18.302856
1.037262, 3.399106, 18.059302
1.60213, 4.349116, 14.256058
